run,variant,pinata_account,fl_round,block_type,expected_pin,pin_status,tx_hash,basescan_url,ipfs_hash,pinata_account_actual,date_pinned
baseline_20260424_201227,baseline,1,0,GLOBAL,round_0_global_model,success,0xe21221ce49784629e3a7aff69df743d3a0b40f94ca0f8863c54c478ef2231d1c,https://basescan.org/tx/0xe21221ce49784629e3a7aff69df743d3a0b40f94ca0f8863c54c478ef2231d1c,QmPVLyAGA6mEBo8yXhr16RB3sZaRipgqyptHJrTH43cGkp,account_1,2026-04-24T15:13:47
baseline_20260424_201227,baseline,1,0,GLOBAL,round_0_global_metrics,success,0xe21221ce49784629e3a7aff69df743d3a0b40f94ca0f8863c54c478ef2231d1c,https://basescan.org/tx/0xe21221ce49784629e3a7aff69df743d3a0b40f94ca0f8863c54c478ef2231d1c,QmQmrhEYADs1QsDLmtUpv9HFQikdgmZH3VqEhMyd4hxbG1,account_1,2026-04-24T15:13:48
baseline_20260424_201227,baseline,1,1,LOCAL,round_1_local,success,0x9f7f44454fe03010456d1a916942b754c0935b78329fe0b1ea06704145527cf9,https://basescan.org/tx/0x9f7f44454fe03010456d1a916942b754c0935b78329fe0b1ea06704145527cf9,QmR42HYvARwt89wnzWihhEeTv5NhtYNFHLP9JNo2i2n26Z,account_1,2026-04-24T15:15:11
baseline_20260424_201227,baseline,1,1,VOTE,round_1_votes,success,0x4ab70086d556076fc3bfae669f1fde4d15e4e71b73b49b7ebd3840c4d3aba3bb,https://basescan.org/tx/0x4ab70086d556076fc3bfae669f1fde4d15e4e71b73b49b7ebd3840c4d3aba3bb,QmUfoZ7dJ7SXuUG2tcJ3tf6fhhmFGDs7MmbLg63VWKETmC,account_1,2026-04-24T15:15:13
baseline_20260424_201227,baseline,1,1,GLOBAL,round_1_global_model,success,0x72ab259d3fe1c2a39a2aa1cfc76f5f75a66b55a7054ace90180b673c2e5551ce,https://basescan.org/tx/0x72ab259d3fe1c2a39a2aa1cfc76f5f75a66b55a7054ace90180b673c2e5551ce,Qmf7b71MrhGSFxSTqYmXf1PEmhzETT3LYB9akaqCAjA269,account_1,2026-04-24T15:17:35
baseline_20260424_201227,baseline,1,1,GLOBAL,round_1_global_metrics,success,0x72ab259d3fe1c2a39a2aa1cfc76f5f75a66b55a7054ace90180b673c2e5551ce,https://basescan.org/tx/0x72ab259d3fe1c2a39a2aa1cfc76f5f75a66b55a7054ace90180b673c2e5551ce,QmSGJEABncSovrXCoWsvr7VZwb76i3SjuMcGpwrJb3HzUf,account_1,2026-04-24T15:17:36
baseline_20260424_201227,baseline,1,2,LOCAL,round_2_local,success,0x689b6edea91a118c476b1ff4983400bfd189263bf2c60298d1da3dacd493b19b,https://basescan.org/tx/0x689b6edea91a118c476b1ff4983400bfd189263bf2c60298d1da3dacd493b19b,QmWkbBq4sSgpeb1zsRfbT7GomTnAaQiNtRUeo9DaoBr66V,account_1,2026-04-24T15:18:49
baseline_20260424_201227,baseline,1,2,VOTE,round_2_votes,success,0x6e1b63fff15880d929737f4ec52da13e54e87b4bb062cf6d6b83891779176bba,https://basescan.org/tx/0x6e1b63fff15880d929737f4ec52da13e54e87b4bb062cf6d6b83891779176bba,QmeE9stn7JxHJMtQHTorDrFCbgGepiC6wP48r7Ztdx2ksd,account_1,2026-04-24T15:18:53
baseline_20260424_201227,baseline,1,2,GLOBAL,round_2_global_model,success,0xcff42ba8249114d3519a59c6a835ad54130f3095d5d46748a5da086e0f6c6323,https://basescan.org/tx/0xcff42ba8249114d3519a59c6a835ad54130f3095d5d46748a5da086e0f6c6323,QmZdHQq7UQ85nJMu8BvWoyN44nDMKx8bVETWKs9GJgRtdG,account_1,2026-04-24T15:19:55
baseline_20260424_201227,baseline,1,2,GLOBAL,round_2_global_metrics,success,0xcff42ba8249114d3519a59c6a835ad54130f3095d5d46748a5da086e0f6c6323,https://basescan.org/tx/0xcff42ba8249114d3519a59c6a835ad54130f3095d5d46748a5da086e0f6c6323,Qma3JN5oLnDTHpvFCESNKYBPHsYQNzaMz5dobDbhz7MkYm,account_1,2026-04-24T15:19:57
